Using device: mps
Base classes (60): [1, 2, 7, 8, 9, 10, 12, 15, 16, 18, 21, 22, 23, 26, 30, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 68, 70, 72, 73, 74, 76, 78, 80, 83, 85, 87, 91, 92, 96, 98, 99]
Incremental sessions (8 x 5-way): [[5, 6, 24, 67, 82], [19, 20, 43, 79, 90], [0, 53, 57, 93, 95], [25, 71, 77, 84, 89], [27, 29, 64, 88, 97], [4, 11, 54, 69, 75], [13, 17, 28, 31, 86], [3, 14, 35, 81, 94]]

=== Phase A: backbone pretraining on 60 base classes for 30 epochs ===
Mixup/CutMix enabled (randomly applied per batch)
[Backbone] epoch 001/30 | train_loss 3.8532 | val_loss 3.4619 | train_acc 9.18% | val_acc 15.83% * | 65.5s
[STAG-STI] epoch 038/50 | loss 1.3764 (val 1.7449) (cls 0.8196, supcon 1.8141, graph 0.0059, stab 0.1112) | train_query_acc 92.73% | val_query_acc 84.47% | 17.9s
[STAG-STI] epoch 039/50 | loss 1.3593 (val 1.6569) (cls 0.8064, supcon 1.8014, graph 0.0056, stab 0.1107) | train_query_acc 93.48% | val_query_acc 87.40% * | 17.9s
[STAG-STI] epoch 040/50 | loss 1.3605 (val 1.7341) (cls 0.8036, supcon 1.8151, graph 0.0057, stab 0.1089) | train_query_acc 93.11% | val_query_acc 84.80% | 18.1s
[STAG-STI] epoch 041/50 | loss 1.3561 (val 1.7427) (cls 0.8044, supcon 1.7975, graph 0.0056, stab 0.1105) | train_query_acc 93.37% | val_query_acc 84.00% | 17.9s
[STAG-STI] epoch 042/50 | loss 1.3409 (val 1.6926) (cls 0.7868, supcon 1.8070, graph 0.0055, stab 0.1062) | train_query_acc 93.71% | val_query_acc 86.40% | 17.9s
[STAG-STI] epoch 043/50 | loss 1.3351 (val 1.6988) (cls 0.7856, supcon 1.7913, graph 0.0053, stab 0.1079) | train_query_acc 93.77% | val_query_acc 85.07% | 18.0s
[STAG-STI] epoch 044/50 | loss 1.3376 (val 1.6935) (cls 0.7847, supcon 1.8031, graph 0.0057, stab 0.1057) | train_query_acc 93.60% | val_query_acc 87.13% | 18.0s
[STAG-STI] epoch 045/50 | loss 1.3487 (val 1.6655) (cls 0.7989, supcon 1.7922, graph 0.0052, stab 0.1077) | train_query_acc 93.55% | val_query_acc 87.40% | 17.9s
[STAG-STI] epoch 046/50 | loss 1.3492 (val 1.7567) (cls 0.7942, supcon 1.8103, graph 0.0056, stab 0.1057) | train_query_acc 93.79% | val_query_acc 82.93% | 17.9s
[STAG-STI] epoch 047/50 | loss 1.3688 (val 1.6769) (cls 0.8149, supcon 1.8060, graph 0.0056, stab 0.1069) | train_query_acc 92.39% | val_query_acc 86.80% | 17.9s
[STAG-STI] epoch 048/50 | loss 1.3403 (val 1.6939) (cls 0.7896, supcon 1.7949, graph 0.0056, stab 0.1081) | train_query_acc 93.35% | val_query_acc 85.53% | 17.9s
[STAG-STI] epoch 049/50 | loss 1.3525 (val 1.6783) (cls 0.7972, supcon 1.8114, graph 0.0056, stab 0.1047) | train_query_acc 93.49% | val_query_acc 85.73% | 17.9s
[STAG-STI] epoch 050/50 | loss 1.3317 (val 1.6952) (cls 0.7846, supcon 1.7836, graph 0.0052, stab 0.1076) | train_query_acc 93.64% | val_query_acc 85.80% | 17.9s

Saved final-epoch STAG-STI checkpoint -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/stag_sti_session0.pt
Saved best-val-acc STAG-STI checkpoint (87.40% @ epoch 39) -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/stag_sti_session0_best.pt

Saved training history -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/training_history.json
Run `python -m fscil.plotting` to generate comparison plots from this history.
