Using device: mps
Base classes (60): [1, 2, 7, 8, 9, 10, 12, 15, 16, 18, 21, 22, 23, 26, 30, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 68, 70, 72, 73, 74, 76, 78, 80, 83, 85, 87, 91, 92, 96, 98, 99]
Incremental sessions (8 x 5-way): [[5, 6, 24, 67, 82], [19, 20, 43, 79, 90], [0, 53, 57, 93, 95], [25, 71, 77, 84, 89], [27, 29, 64, 88, 97], [4, 11, 54, 69, 75], [13, 17, 28, 31, 86], [3, 14, 35, 81, 94]]

=== Phase A: backbone pretraining on 60 base classes for 30 epochs ===
[Backbone] epoch 001/30 | train_loss 3.6417 | val_loss 3.2661 | train_acc 12.33% | val_acc 21.02% * | 64.8s
[STAG-STI] epoch 041/50 | loss 1.4501 (val 2.1317) (cls 0.6267, supcon 1.6378, graph 0.0031, stab 0.0375) | train_query_acc 98.80% | val_query_acc 87.93% | 18.0s
[STAG-STI] epoch 042/50 | loss 1.4459 (val 2.0947) (cls 0.6226, supcon 1.6380, graph 0.0031, stab 0.0357) | train_query_acc 98.92% | val_query_acc 90.40% | 17.9s
[STAG-STI] epoch 043/50 | loss 1.4426 (val 2.0797) (cls 0.6235, supcon 1.6296, graph 0.0029, stab 0.0356) | train_query_acc 98.91% | val_query_acc 90.07% | 18.0s
[STAG-STI] epoch 044/50 | loss 1.4415 (val 2.1124) (cls 0.6225, supcon 1.6295, graph 0.0029, stab 0.0343) | train_query_acc 99.01% | val_query_acc 89.40% | 17.9s
[STAG-STI] epoch 045/50 | loss 1.4504 (val 2.0983) (cls 0.6249, supcon 1.6422, graph 0.0032, stab 0.0352) | train_query_acc 99.03% | val_query_acc 89.47% | 18.0s
[STAG-STI] epoch 046/50 | loss 1.4494 (val 2.1535) (cls 0.6250, supcon 1.6403, graph 0.0031, stab 0.0340) | train_query_acc 98.84% | val_query_acc 88.93% | 18.0s
[STAG-STI] epoch 047/50 | loss 1.4528 (val 2.0945) (cls 0.6285, supcon 1.6401, graph 0.0032, stab 0.0340) | train_query_acc 98.68% | val_query_acc 90.13% | 18.0s
[STAG-STI] epoch 048/50 | loss 1.4453 (val 2.1445) (cls 0.6245, supcon 1.6332, graph 0.0030, stab 0.0338) | train_query_acc 98.85% | val_query_acc 89.40% | 18.0s
[STAG-STI] epoch 049/50 | loss 1.4536 (val 2.1143) (cls 0.6242, supcon 1.6502, graph 0.0034, stab 0.0336) | train_query_acc 98.91% | val_query_acc 89.00% | 18.2s
[STAG-STI] epoch 050/50 | loss 1.4395 (val 2.1240) (cls 0.6213, supcon 1.6279, graph 0.0033, stab 0.0339) | train_query_acc 98.97% | val_query_acc 89.87% | 18.0s

Saved final-epoch STAG-STI checkpoint -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/stag_sti_session0.pt
Saved best-val-acc STAG-STI checkpoint (90.67% @ epoch 39) -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/stag_sti_session0_best.pt

Saved training history -> /Users/thapaswin/FSCIL project/stag_sti_fscil/checkpoints/training_history.json
Run `python -m fscil.plotting` to generate comparison plots from this history.
